clean_comment,Result
copy of mail just sent to the wikieni list in answer to the point of no legal threats the legal reference was to the fact that i was being threatened with various forms of complaint that would need defending against by the aff couple at the same time as the block began thus obstructing my actions i do not see that as a legal threat to sue anyone the point is one should not have personal feuds from outside wikipedia brought into it and if any harrassment that would be a wrong in the world outside wikipedia had been effected during the block which it had blocked me responding to then that clearly would have been a legal wrong because wikipedia can not opt out of the world it is not isolated from the existence of those factors in society as a whole egin the argument about nazism that is going on here you are taking a position against having nazis target groups put in danger and you are doing that because it is an outside world legal issue wikipedia is not a democracy needs quite a sharp answer given to it for the reason of keeping itself in passably right relationship with the outside world iereaders wikipedia holds a policy on neutrality of content but the only way this policy genuinely exists and is not a lie to readers is if unconditionally anyone who falls victim to crowd psychology can lay claim to by right not have to beg for by favour any measure that prevents a force of group numbers keeping a bullying bias in place without having to find npov ground now laying claim to anything inherently means being entitled to anything this is actually a casestudy in how society emerged from the middle ages to have any credible claim to work by any principles a society must show they operate reliably fairly and to do that means that people are entitled to it no way out of that hence as soon as any group tries to follow any policy code like neutral pov immediately people are entitled to things and all things are not dependent on favour so it stands absolutely logically proved either it is wrong to say to any user ever you arenot entitled to anything or it is wrong to say to the public that wikipedia has a neutrality policy that worksthey can not both be right because anyone can see they contradict each other headon at least one must be wrong which is itend of copy right what this means is perfectly clear unless wikipedia can answer the question i put there which is it then wikipedia is illegal it is as simple as that and i am immediately posting so in every single aspie forum i belong to i will also be asking reallife organisations to file details on it as being part of a hate campaign the illegality is shared by every person who does not leave wikipedia unless there is an unless unless the question is answerable there are only answers if it is the second answer no neutrality policy then wikipedia would stand obliged by its own public admission to shut down while if it is the first answer the mob is not in charge and people are entitled to things then this block ends it is as simple as that now i have a right to challenge the block and this has been the challenge the block forms part of a groupbullying hate campaign to establish that the mob is in charge and if that is not the case wikipedia has absolutely firmly no other choice than to admit that people are entitled to things and that inherently means it is not a legal threat to say so that means being entitled to challenge any admin who claims it is now people outside wikipedia are going to see whether this has been passed on to every place for challenging blocks and then what answers it gets',0
please provide a list of those primary schools you mentioned and we can redirect them as well wpotherstuff is not sufficent here these articles must meet notability guidelines and there is no indication that this one will',0
i would have to get a lot of people in on it first to pull it off but i can start it off with at least people as is i think wikipedia is popularity might help to end the hackingdisconning for ever',0
don\xc2\xb4t hide correct information instead help people get access to it hi tournesol wikipedia have never been about consensus wikipedia is about making new correct and useful information public for a brooder amount of people quicker and within a shorter time interval than ordinary dictionaries this means researchers with a specific knowledge may help other people get access to it and speedup the expansion of the world mainstream knowledge i think you agree it\xc2\xb4s a god deed to share information even if this knowledge is regarded new for the ordinary layman and in the forefront of science wikipedia has never been about satisfying some perverse peoples needs to act as deputies for bureaucratic hegemonies for example it will be impossible to incorporate pictures in wikipedia if you can\xe2\x80\x99t give away your own pictures and include your own work as a reference to the same pictures and do you tournesol really think any researcher can write an scientific article which isn\xe2\x80\x99t based on his or her own knowledge including research',0
somebody added a paragraph about ratio dependence to end of the section about type ii although a section about ratio dependence might be useful i do not see why it would go under holling is type ii i also do not see why it is contrasted with the lotkavolterra model which uses type i by the way since the author did not justify his contribution here on the talk page i will remove it',0
reverting for no reason i spent quite some time improving an article that was in a poor state now two people have undone all my work with a click of a button you did not have the courtesy to explain why you reverted it but you still had the fucking cheek to accuse me of leaving an inaccurate edit summary noone is that stupid so you were plainly just out to provoke me well fucking well done consider me fucking provoked i guess you did not even bother to look at the changes before you put all that shit back selfarrest refers to various maneuvers employed in mountaineering it does not refer to that it is that you want to say paris refers to the capital city of france or nile refers to a river that flows into the mediterranean sliding down a snow or ice covered slope arrests stops the slide you think readers are too stupid to understand what arrests means in this context himself or herself you think the single word themselves is some how better expressed in three words andor ice axe you never bothered to read wpslash these potentially lifesaving techniques must be practiced frequently in order to maintain proficiency this website is called wikipedia not wikimanual but you never bothered to read wpnot did you that is just the first five i made many more i left the article looking considerably better and more encyclopaedic but then you came along and fucked it all back up again do you feel proud still waiting for you to justify your risible claim of or also stop stalking and harassing eh',1
discussion on linkssources provided i think i provided more than enough sources and links that show the ramdasia is are chamars the sources are books written by british authors years ago research papers indian constitution and official government of india websites if anyone disagrees please post here with valid reasonable arguments with verifiable links please answer these questions why would three books see above for links say that sikh chamars are known as ramdasia why would so many research articles see above for links write that ramdasia are sikh chamar why do all official indian government websites state that chamar ramdasia are the same',0
other films he has directed you can find them here httpyoutubecomwatchvynhbkzps there is another i cant remember the name but it was on youtube it has a girl dancing and doing coke before a man comes shoots someone in the head and leaves money lying there',0
proposing to merge list of basic classics topics to classics seeking concensus on proposed merger at talkclassics cheers',0
you make fair arguments about the content so i have started a discussion for you here there is no need to gain a consensus for removing it first but explaining somewhere why you are removing it would have been the correct move',0
besides you was defecate my image for ex the grave of vince talab\xc3\xa9r talk',0
welcome welcome to wikipedia vivalavida my name is if and i am a wikipedia administrator and i am a wikipedia administrator i just wanted to say hi and welcome you to wikipedia if you have any questions feel free to leave me a message on my talk page or press the request help button at the bottom of this message i love to help new users so do not be afraid to leave a message i hope you like the place and decide to stay here are some pages that will help you edit wikipedia \xc2\xa0 how to edit a page \xc2\xa0 tutorial \xc2\xa0 sandbox the place where you can experiment \xc2\xa0 where to ask a question \xc2\xa0 what this site is based on \xc2\xa0 manual of style here are some ways you can help improve wikipedia \xc2\xa0 create an article \xc2\xa0 help remove bad edits vandalism \xc2\xa0 translate an article \xc2\xa0 improve illustrations and upload new images \xc2\xa0 perform maintenance tasks \xc2\xa0 become a member of a project that interests you i hope you enjoy editing here and being a wikipedian please sign your name on talk pages using four tildes this will automatically produce your name and the date if you need help check out wikipediaquestions ask me on my talk page or press the request help button below again welcome if have a cup ark have a cup ark',0
width stylebackgroundtransparent width stylebackgroundcolor stylewidth border px solid backgroundcolor verticalaligntop hello sashanth and welcome to wikipedia please remember to sign your name on talk pages by clicking or using four tildes this will automatically produce your username and the date also please do your best to always fill in the edit summary field below are some useful links to facilitate your involvement happy editing thanks talk width stylebackgroundcolor stylewidth border backgroundcolor verticalaligntop getting started introduction the five pillars of wikipedia how to edit a page finding your way around table of contents department directory editing articles how to develop an article manual of style stylewidth border backgroundcolor verticalaligntop width cellpadding styleverticalaligntop backgroundcolor getting help stylecolor frequently asked questions cheatsheet where to ask a question help pages new contributors help page',0
wpfilm april newsletter the april issue of the wikiproject film newsletter has been published you may read the newsletter change the format in which future issues will be delivered to you or unsubscribe from this notification by following the link if you have an idea for improving the newsletter please leave a message on my talk page happy editing talk \xe2\x80\xa2 contri,0
hmmm i think your last one counts as another revert after being warned a strict violation of wphissyfit',0
reilly does not actually place much stock in urraca is pregnacy citing her age at the time the statement died during childbirth could be qualified with a notation citing reilly is view verses the chronicle is viewi will need to confir with my notes im out of town atm on the annulment date of her marriage and her death date\xc2\xb7talk',0
it will not work because of the person we are dealing with his ego is so big he refuses to acknowledge any wrongdoing or incorrect actions he has done he selectively replies to the talk pages if he replies at all always avoiding the issues that would force him to admit what he is doing might not be the best way who in their right mind scours the net for one source to use instead of relying on consensus reports to him one article that says a band is emo is better than finding that never make any mention of it regarding that band that is what we have going on there and that is why i had enough and made a better page for people that actually want to see what emo bands are on here but you deleted it wasting a few hours of my life can not i at least view that material again so i can paste it to excel or something for myself thanks',0
to get to the bottom of what you meant by and why you made the redneck comment what you thought it would achieve and whether you appreciated how it could be taken by others not just mongo who has made his feelings pretty clear as a fellow editor interested in the health and wellbeing of the site nothing more suspicious than that i promise',0
please do not vandalize pages as you did with this edit to list of case closed characters if you continue to do so you will be blocked from editing',0
the simpsons surely there must be more references to the simpsons their earlier series were almost completely filled with jokes and parodies of every popular movie of the last century',0
calling all active wpnovels members wikiproject novels roll call wikiproject novels is currently holding a roll call which we hope to have annually your username is listed on the members list but we are unsure as to which editors are still active within the project if you still consider yourself an active wpnovels editor please add your name back to the active members list also feel free to join any of our task forces and take a look at the project is job centre to get involved next month we will begin the coordinator election selection process we hope to have more involvement and input this time around more news will be forthcoming thanks everyone habla conmigo',0
your rude interference by deleting a private talk entry november ryulong talk contribs you removed a protection template i reverted that now leave me alone please and go about editting can you restore my talk entry as you rudely deleted please you could fix my mistake in the first line and be more respectful to the subsequent part dont you tthink i hope this does not sound as much f off attitude you are giving the original of your first quote which is more befitting with your deletion of a talk page entry is as follows everytime i hear the word culture i reach my revolver herman goering can you restore what you have just deleted as my entry into a private talk page please thanks',0
danny devito blah blah',0
the reason given does not apply it was not me wo wikistalked anyone this is quite suspicious',0
barling bomber xnbl would be fine with me as the important thing here is that most researchers will be looking for the words barling bomber in the article is title shame on you the wpairnc is not a standard that article titles are forced to conform with it is only the suggested method of naming this particular aircraft conforms to the same convention applied to the horten ho article in the case of experimental aircraft it is often more correct to name the aircraft after the designer not the manufacturer in this particular case that is doubly true as the manufacturer went out of buisness before the aircraft was operational and the designer continued to design aircraft for another decade',0
especially kickstarterlevel films or any indie project that was involved in could certainly deserve a chance to to find a right sources for them ya know',0
ok that is good to hear',0
perhaps youtube contributions could be referenced as part of the history and development of the use of means of communication and media by the individuals and institutions of the bahai faith we go back to the greatest holy leaf using the telegraph through the first computers at the world center the radio stations on to individuals at university using early internet forms and individuals and institutions using bbses i could easily see youtube as an extension of that series there is more than one article on such a history but perhaps none have gone much newer than ish times',0
sorry i have a virus it has been taken care of bitdefender for the win really although i do not know why one would pick random pages to vandalize through a virus it was cleverly designed i must admit sorry for any damages',0
searchbot is correct complying now',0
what is your source for this moreover your telling me this does not alter the fact that the article does not address the question guys are either gay or they are not whereas girls are allowed to experiment who made this rule and to how much of the world does it apply after college the peer approval of this behavior greatly diminishes while society is approval will only gradually diminish with time wrinkles and gray hair consequently a lot of girls quit after college and for them it is just behavior they were the lesbians until graduation the term does not make too much sense because they were never really lesbians to begin with but it exists nonetheless',0
myspace video guy should we split the article into a dis there is a myspacecom video poster who is very notable on myspacetv he creates his own comedic raps to celebrities and sports figures',0
did you notice that i found that an article metal objects outofplace artifacts created through a sock while blocked turned out to be virtually all copyvio i am not clear why liveintheforests is block was not extended for the block evasion but maybe i have lost track of something',0
you are continuing come on i suggest discussion and consensusgathering please put your efforts into that instead of this pointless edit war violetriga t',0
email a virtual carrier pigeon is on its way to your inbox dear talk',0
umm founders are key to the organization nphc organization pages have founders on them why would not aka is httpenwikipediaorgwikialphaphialpha httpenwikipediaorgwikiomegapsiphi httpenwikipediaorgwikideltasigmathetadeltafounders summary style is good in some degree but not in this case the aka article is nowhere near as long as the alpha article which is a relative comparison httpenwikipediaorgwikialphakappaalpha httpenwikipediaorgwikialphaphialpha in fact expansion is needed',0
hiya with regard to this just letting you know that i have left you a reply at wikipediahelpdeskclearingsandbox hopefully that will help you out if not let me know many thanks tallyho',0
paula white joel osteen marbled cat and a few others these images were correctly retrived and all information was given about the images that were necessary some were even my own and i gave full permission for their use on wikipedia mcelite',0
brian leet tran a tag has been placed on brian leet tran requesting that it be speedily deleted from wikipedia this has been done because the article seems to be about a person group of people band club company or web content but it does not indicate how or why the subject is notable see the guidelines for notability here if you can indicate why the subject of this article is notable you may contest the tagging to do this please add on the top of the page and leave a note on the article is talk page explaining your position please do not remove the speedy deletion tag yourself please read the criteria for speedy deletion specifically articles and our general biography criteria feel free to leave a note on my talk page if you have any questions about this',0
i do not care what you consider nev please find something to do that does not involve harassing people cheers',0
john i respect you hugely so i shall take your advice this time i have no idea who you are but do what what you like i could not really care oh and for your information paris had nothing to do with it but thanks for the stunning piece of guess work \xf0\x9f\x98\x8f talk',0
accusing floquenbeam of bad faith is not a wise tactic if you are looking to be unblocked bonkers my talk my edits',0
support option a until there is actually another abby martin article',0
the content the writing style the prose etc you do it pretty good gloss i remember \xe2\x80\x94 chitchat',0
stop stop messing with my article',0
you would not be referring to the agreement of rouble transfer that v\xc3\xa4hi signed before laar is pmship the one that the state comptroller is office condemned as irresponsible and unlawful nope illegal agreements can not be considered as sufficient basis for giveaway of billions of roubles it might have made a heck of a bribe to the thenreigning soviet authorities sure as for the sureek exchange nobody was forced to exchange their cash i retained a few of my hardearned rouble banknotes as memorabilia myself there is no need to remind you that they lost all financial value in a few short years it just so happened that boe is rate was among the best available rates and while sur kept falling eek managed to brake the inflation down to a manageable level remember events from this era are generally poorly understood by the general public a lot of rumours circulated some better some worse some of these rumours were politically motivated it was an era so hectic there was even no internet taking a random thing you read or hear about anything from the early s estonia is likely to mislead you \xce\xb5\xce\xbc\xcf\x80\xcf\x81\xce\xbf\xcf\x82',0
cool story bro cool story bro',0
i never said they would be expelled i said they do not meet the eligibility requirements to be a scout the only way an avowed homosexual can both understand and agree to live by the scout oath and law is to lie of course he is also violating his promise to be trustworthy in the process he does not meet the eligibility requirements to be a scout he intentionally violates the scout oath and law and he intents to continue violating the scout oath and law but he could join and remain in scouting nonetheless by telling lies i imagine at any given time there are thousands of scouts who are regularly violating the scout oath and law who intend to continue doing so and still remain in scouts but that does not change the fact the scout oath is what it is that bsa believes that homosexual behavior violates the scout oath and that these scouts are not qualified to be scouts the first amendment simply does not require that every member of a group agree on every issue in order for the group is policy to be expressive association the courts may not interfere on the ground that they view a particular expression as unwise or irrational and beliefs need not be acceptable logical consistent or comprehensible to others to merit first amendment protection the fact that many scouts disagree with bsa beliefs ignore bsa beliefs disobey bsa beliefs or that anyone finds bsa beliefs to be inconsistent irrational or unwise does not take away bsa is right to assert and hold their beliefs',0
kongacom httpwwwkongacom \xc2\xa0\xc2\xa0',0
you have a fucking huge ego for a fucking geek with no life',1
well i think i have seen it stated someplace that subduction is driving most plate motion on a global scale whatever an individual plate is doing if that is not already sourced in the article it should be',0
i think my top would include satyajit ray christopher nolan quentin tarantino and woody allen as well more mainstream choices i think talk',0
question that has nothing to do with baronets you are probably best placed to give a second opinion \xe2\x80\x93 do you think ricky hatton vs paulie malignaggi and the like ought to exist as separate articles i can understand why we have separate articles on historic fights like jack dempsey vs luis \xc3\xa1ngel firpo but categoryboxing fights is full of things like this that do not seem to have any particular significance no title at stake no records set etc someone is obviously put a lot of work into them so i do not want to wade in and start afd tagging but i really can not see why we have them \xe2\x80\x93 we do not have articles on every football match etc\xc2\xa0\xe2\x80\x93\xc2\xa0scent',0
as a note i made the following changes to the section',0
i was probably in bad mode that day do not take it seriously however there is still question why most of the wikipedia edits of one swedish are about kosovo my logic tell me that something is wrong there and i just do not like much when people lie about their identity but if you are swedish then you should be more cautious about edits in one such sensitive question such as kosovo the fact that albanians from kosovo want independence does not mean that you should reject some scientific principles and to post into these articles maps whose only purpose is to remind albanians that they once lived in the countries which enslaved them i am serb but i fully understand kosovar albanian point of view regarding serbia as for these maps i wrote that to you in serbian but i will repeat that in english if you write about one territory then you should post there only maps which show that territory with its own borders two maps that you posted do not comply with this principle if any of these two actually showed metohija with its borders within serbiamontenegro or montenegro i would not object but to post only maps of these two countries with no borders of metohija shown is not a science at all talk',0
good i seriously do not care thanks for all the wasted time',0
this page is about a very important palace in the old and recent and contemperory egyptian history',0
page patrolled thanks for sending me an email but i use email only for private discussion and prefer onwiki discussion for everything else so i will answer you here you asked me what does that mean that the imago mundi art luciano benetton collection was patrolled by me that means that i reviewed the page during the wpnew pages patrol process that is a process of checking newly created pages for obvious errors i checked the page as reviewed take a note that the page was already before that proposed for deletion by i agree with him the article as written lacks any proof of wpnotability talk',0
future perfect at sunrise\xe2\x98\xbc february',0
it is from and the footnote on the page says the statement was provided by the cs church board so we might use it to say that in the cs church board chose to characterize itself as a denomination but that is not worth saying in my view talkcontribs',0
thanks many thanks for removing the vandalism on lineman occupation regards',0
hi andrzejbanas i always come back \xe2\x80\x94 preceding unsigned comment added by by the way andrzej why did you remove crime from tv series httpwwwsidereelcom considers it a crime show or do you think all crime films need to be godfather rip offs lol',0
big boned reference should be made to the controversy of someone who is big boned being an advocate of health',0
yeah i seem to be doing that a lot now my bad accessdenied',0
imagefoxnewsalertpng listed for deletion an image or media file that you uploaded or altered imagefoxnewsalertpng has been listed at wikipediaimages and media for deletion please see the discussion to see why this is you may have to search for the title of the image to find its entry if you are interested in it not being deleted',0
you call macdonald is a part of your culture nonsense spend some years in france and then you will have a hint of what culture is',1
your request to be unblocked has been granted for the following reasons you have submitted good information to the mario party article request handled by',0
please refrain from offensive comments like how obviousan american as any redblooded american i continue to be perplexed why some europeaners continue to hate us even though we saved their asses from hitlersigh',0
hamsuncentre article on obituary by prof atle kittang re deletion of ref to article at hamsuncentre by prof atle kittang cf editsummary sorry eisfbnore wrong on this being wikipediaor it is attributed pls do not editwar retrieved from httpenwikipediaorgwikitalkknuthamsun sobituaryofadolfhitler',0
morgause is parents it was recently learned that she has a half sister morgause who was smuggled out of camelot by gaius at her birth and it was revealed by gaius that she is the daughter of gorlois the identity of her mother remains unknown we can not know gorlois is morgause is father for sure just from the crest she wore and in fact it seems like its the other way around from recent events helen i believe is her name gorlois wife seems to be the shared parent of morgana and morgause spoilers for x if you have not seen if morgana and morgause share a father why did morgana continue to call morgause sister after revealing to morgause that uther was her father they would be entirely unrelated if gorlois was not morgana is father and you would think the subject would have come up also the way morgause mentioned that the healing bracelet she gave morgana was a gift from her mother seems to imply more that they share a mother and not a father',0
support leonard maltin is movie guide sez looking for mr goodbar articles should have the correct title the redirect sans dot should take care of instances in which someone forgets to put it in',0
my question was if paradox has meaning within the study of wave functions the last person up told me i am in the wrong area if i want to take paradox into account',0
redirect talkmuhammad ali prince of the said',0
where has he referred to himself as a neocon where is the citation you can say it all day long where is the citation here is one for you httpnjnationaljournalcomvoteratings httpwwwpoliticocomblogsbensmith mostliberalhtml national journal rates obama the single most liberal member of the senate last year spotlighting some policy differences as well as writing a gop attack ad if he is the nominee but perhaps also a helpful note in consolidating support on the left now the rating is a detailed rigorous look across candidates senate records and while obama and clinton are perceived as having similar senate records this suggests that obama is record on the smaller littlenoticed votes has put him firmly to clinton is left',0
here are some sources backing up my statement httpdictionaryreferencecombrowsehazel defines it as a light golden brown colour after a hazelnut httpwwwwonderquestcomeyecoloragehtm states hazel eyes are light brown or yellowish brown httpwwwfanteyecomextimagespfreshlookscolorblendschartlgjpg shows a pure hazel eye big difference to the green eye diagonally below to the right httpwwwcolormecontactscomcoloredcontactsfordarkeyes puts hazel eyes in the same category as honey not green plus displays a green eye with abit of brown central heterochromia under the green category httpwwwyestheyrefakenetcolorcontactsbuyphotoshtm shows hazel eyes in numerous pictures presenting them as a golden brown httphazeleyeswintergoddessblogspotcomau hazeleyeshtml states the north american misconception and the trueoriginal european definition while showing examples of various sources numerous pictures and comments below of people agreeing while stating their opinion having experienced the north americans and europeans different conceptions httpwikianswerscomqwhatisthedefinitionofhazeleyes states the misconception and says that hazel eyes are supposed to match the hazel or cob nut the fruit of the hazel bushtree that grows in europe httpmrateitallcomiphoneitemaspxp itemid shows an optometrists opinionexperience with the issue while stating the hazel eye misconception and providing sources backing up his statement',0
analogy to magnetism the magnetic force is not similar to a coriolis force there ist no analogy beyond the cross product the cited paper is not reviewed not even published meier suggested this analogy in the germanwikipediaarticle as well but it was reverted and the resut of the discussion between the members of the wikiproject physics ist clear no original research and no reliable source i have deleted it for the second time',0
dignity is duff is third studio album due to the fact that ever and most wanted were considered compilation albums and santa clause lane was a holiday album and it is not considered a studio album her debut album was metamorphosis her sophomore album was hilary duff and her third album is dignity',0
hey mel want my number i will suck that geriatric cock of yours big man dyo like that huh i am a good girl with a tight ass and petite frame who needs to be taught a lesson',1
your time you suck because you are rightit is the thirdand i do not remember yoursstillloli wanna say its in octoberbut something tells me it is not',1
technical limitations reached on this article in case you had not noticed a large number of templates are not getting displayed on this page looking at the page source the following text appears quite a few times when this happens the template is not rendered but simply displayed as a link to the template i think the problem is in the multiple infoboxes here and their calls to all the route diagram templates pushing up the template count so what do we split out to another article to resolve this problem my first thought would be to put the route information for each of the three routes listed into their own articles since that is where the route diagrams make the most sense speak',0
redirect talkgerman submarine u',0
redirect user talkleujohnarchive december march',0
when i took cs gas training with the army we were warned that they will ignite wooden buildings some police may use this fact to intentionally use them to burn down buildings around suspects burn the term used in the tape may refer to cs or smoke canisters that would have the dual effect of smoking a person out or burning the building down if they do not come out i may still have the military manual on them somewhere if not it may be online',0
fixed t c wpfour wpchicago wpwaward',0
vandalism dude my edits were not vandalism i am sorry if you think they are but your beliefs do not make it vandalism i was deleting something in the article that was trivial at best much less noteworthy',0
it is pretty old it was published back in could not find a very accurate updated version \xe2\x80\x94 babashi antenna',0
roses are red violets are blue man i am black but what the fuck are you',1
redirect talkuscg treasuryclass cutter',0
yes likewise der untergang is by far and away the most historically accurate film ever done about that overall topic very noteworthy and controversial for being so yet it is still replete with needless mistakes and yes all kinds of spin here and there',0
user talkrelaxant crap dikefckingsandbox',1
sweet glad that is resolved',0
your fucking face faggots',1
to you and everyone else',0
after all like eskog said we should build an encyclopedia and not propoganda like this article started out as',0
please see question on my talk page thanks',0
please note that the deletion discussion is now closed no further comments will be considered',0
again i feel you are not qualified to edit wikipedia just look at your spelling not as lomng as you are vandalizing the page with adding nonsense copnsider to add some real stuff if english is a forign language to you excuse me although you could try using a wikipedia site for different languages i am sorry to say but i will have to repost yet again',0
macedonian history genetic testing like from igenea has consistently shown that the modern macedonians are related to the ancient macedonians instead of recognizing this you choose to spit on our culture customs and identity by siding with greeks simply because their are more on wikipedia numbers does not equal truth i spit on you for doing this and may the lord haunt your dreams for helping suppress the macedonians igenea test results albania illyrians phoenician hellenen thraker vikings slavs greece germanic illyrians slavs phoenician macedonian in north more than hellenen bulgaria thraker macedonian slavs hellenen pheonician macedonia macedonian illyrian hellenen phoenician germanic hunnen slavs',0
